"nb_villes","meth_decroiss_temp","amplitude","temp_init","temp_finale","nb_rep_max","alpha","resultat"
30,1,1,1000,901,100,"0,90","130,7997800000"
30,1,1,1000,901,100,"0,99","120,3569088000"
30,1,1,1000,901,500,"0,30","123,6362480000"
30,1,1,1000,901,500,"0,70","123,6362480000"
30,1,1,1000,901,500,"0,90","123,6362480000"
30,1,1,1000,901,500,"0,99","122,3314560000"
30,1,1,1000,901,1000,"0,30","123,6362480000"
30,1,1,1000,901,1000,"0,70","132,6978950000"
30,1,1,1000,901,1000,"0,90","132,6978950000"
30,1,1,1000,901,1000,"0,99","117,7168090000"
30,1,3,1000,1,100,"0,30","101,5101260000"
30,1,3,1000,1,100,"0,70","102,5278980000"
30,1,3,1000,1,100,"0,90","69,6122930000"
30,1,3,1000,1,100,"0,99","50,6115960000"
30,1,3,1000,1,500,"0,30","78,5736750000"
30,1,3,1000,1,500,"0,70","66,0384770000"
30,1,3,1000,1,500,"0,90","72,7970610000"
30,1,3,1000,1,500,"0,99","56,0701170000"
30,1,3,1000,1,1000,"0,30","85,9319090000"
30,1,3,1000,1,1000,"0,70","68,3309570000"
30,1,3,1000,1,1000,"0,90","60,9707690000"
30,1,3,1000,1,1000,"0,99","55,2858520000"
30,1,3,500,1,100,"0,30","112,6663790000"
30,1,3,500,1,100,"0,70","80,1709940000"
30,1,3,500,1,100,"0,90","70,6499820000"
30,1,3,500,1,100,"0,99","57,9005716000"
30,1,3,500,1,500,"0,30","81,0923320000"
30,1,3,500,1,500,"0,70","74,1497900000"
30,1,3,500,1,500,"0,90","60,2620370000"
30,1,3,500,1,500,"0,99","56,8470632000"
30,1,3,500,1,1000,"0,30","75,1533450000"
30,1,3,500,1,1000,"0,70","66,5369510000"
30,1,3,500,1,1000,"0,90","69,6975980000"
30,1,3,500,1,1000,"0,99","56,3389074000"
30,1,3,100,1,100,"0,30","104,0498440000"
30,1,3,100,1,100,"0,70","90,1724240000"
30,1,3,100,1,100,"0,90","76,4076358000"
30,1,3,100,1,100,"0,99","62,2199830000"
30,1,3,100,1,500,"0,30","89,9056590000"
30,1,3,100,1,500,"0,70","66,7990450000"
30,1,3,100,1,500,"0,90","70,3062850000"
30,1,3,100,1,500,"0,99","59,7476960000"
30,1,3,100,1,1000,"0,30","99,3228418000"
30,1,3,100,1,1000,"0,70","74,3931730000"
30,1,3,100,1,1000,"0,90","63,8493750000"
30,1,3,100,1,1000,"0,99","55,9231272000"
30,1,3,1000,501,100,"0,30","123,2657880000"
30,1,3,1000,501,100,"0,70","121,9527450000"
30,1,3,1000,501,100,"0,90","118,8584030000"
30,1,3,1000,501,100,"0,99","116,9072800000"
30,1,3,1000,501,500,"0,30","118,8584030000"
30,1,3,1000,501,500,"0,70","119,2714290000"
30,1,3,1000,501,500,"0,90","121,8343570000"
30,1,3,1000,501,500,"0,99","109,4953690000"
30,1,3,1000,501,1000,"0,30","121,8343570000"
30,1,3,1000,501,1000,"0,70","121,8343570000"
30,1,3,1000,501,1000,"0,90","116,5006800000"
30,1,3,1000,501,1000,"0,99","99,1825440000"
30,1,3,1000,901,100,"0,30","127,6650040000"
30,1,3,1000,901,100,"0,70","127,6650040000"
30,1,3,1000,901,100,"0,90","127,6650040000"
30,1,3,1000,901,100,"0,99","121,6979350000"
30,1,3,1000,901,500,"0,30","124,3304310000"
30,1,3,1000,901,500,"0,70","124,3304310000"
30,1,3,1000,901,500,"0,90","124,3304310000"
30,1,3,1000,901,500,"0,99","120,7876340000"
30,1,3,1000,901,1000,"0,30","124,3304310000"
30,1,3,1000,901,1000,"0,70","121,3851846000"
30,1,3,1000,901,1000,"0,90","120,6488730000"
30,1,3,1000,901,1000,"0,99","114,7048290000"
30,1,5,1000,1,100,"0,30","112,9165800000"
30,1,5,1000,1,100,"0,70","86,9484890000"
30,1,5,1000,1,100,"0,90","92,0065550000"
30,1,5,1000,1,100,"0,99","68,2572100000"
30,1,5,1000,1,500,"0,30","96,4504090000"
30,1,5,1000,1,500,"0,70","72,3074560000"
30,1,5,1000,1,500,"0,90","64,2087368000"
30,1,5,1000,1,500,"0,99","50,5919812000"
30,1,5,1000,1,1000,"0,30","91,8850910000"
30,1,5,1000,1,1000,"0,70","72,1574960000"
30,1,5,1000,1,1000,"0,90","68,7266328000"
30,1,5,1000,1,1000,"0,99","56,4983358000"
30,1,5,500,1,100,"0,30","107,4299080000"
30,1,5,500,1,100,"0,70","90,0669710000"
30,1,5,500,1,100,"0,90","82,2333390000"
30,1,5,500,1,100,"0,99","67,7431830000"
30,1,5,500,1,500,"0,30","83,3611060000"
30,1,5,500,1,500,"0,70","75,2377690000"
30,1,5,500,1,500,"0,90","69,6234180000"
30,1,5,500,1,500,"0,99","59,2789588000"
30,1,5,500,1,1000,"0,30","80,3636940000"
30,1,5,500,1,1000,"0,70","62,4017140000"
30,1,5,500,1,1000,"0,90","66,6249480000"
30,1,5,500,1,1000,"0,99","56,4073250000"
30,1,5,100,1,100,"0,30","110,9904140000"
30,1,5,100,1,100,"0,70","88,7315890000"
30,1,5,100,1,100,"0,90","85,1186480000"
30,1,5,100,1,100,"0,99","60,3380060000"
30,1,5,100,1,500,"0,30","93,4182110000"
30,1,5,100,1,500,"0,70","87,4106610000"
30,1,5,100,1,500,"0,90","62,6565330000"
30,1,5,100,1,500,"0,99","53,8289340000"
30,1,5,100,1,1000,"0,30","87,2068880000"
30,1,5,100,1,1000,"0,70","73,2658720000"
30,1,5,100,1,1000,"0,90","66,2339094000"
30,1,5,100,1,1000,"0,99","56,7117720000"
30,1,5,1000,501,100,"0,30","133,0332140000"
30,1,5,1000,501,100,"0,70","128,2391520000"
30,1,5,1000,501,100,"0,90","126,1444480000"
30,1,5,1000,501,100,"0,99","117,6836050000"
30,1,5,1000,501,500,"0,30","128,2391520000"
30,1,5,1000,501,500,"0,70","126,1444480000"
30,1,5,1000,501,500,"0,90","108,4729420000"
30,1,5,1000,501,500,"0,99","112,8126380000"
30,1,5,1000,501,1000,"0,30","118,7663650000"
30,1,5,1000,501,1000,"0,70","118,7663650000"
30,1,5,1000,501,1000,"0,90","116,9549190000"
30,1,5,1000,501,1000,"0,99","106,9084636000"
30,1,5,1000,901,100,"0,30","133,8642060000"
30,1,5,1000,901,100,"0,70","133,8642060000"
30,1,5,1000,901,100,"0,90","133,8642060000"
30,1,5,1000,901,100,"0,99","114,3945020000"
30,1,5,1000,901,500,"0,30","125,1465390000"
30,1,5,1000,901,500,"0,70","133,5889250000"
30,1,5,1000,901,500,"0,90","133,5889250000"
30,1,5,1000,901,500,"0,99","116,8132780000"
30,1,5,1000,901,1000,"0,30","125,2632980000"
30,1,5,1000,901,1000,"0,70","125,2632980000"
30,1,5,1000,901,1000,"0,90","121,4678008000"
30,1,5,1000,901,1000,"0,99","114,6232040000"
30,1,10,1000,1,100,"0,30","108,4504470000"
30,1,10,1000,1,100,"0,70","88,1380470000"
30,1,10,1000,1,100,"0,90","90,4634490000"
30,1,10,1000,1,100,"0,99","67,5045508000"
30,1,10,1000,1,500,"0,30","88,5241350000"
30,1,10,1000,1,500,"0,70","79,1481010000"
30,1,10,1000,1,500,"0,90","66,1606680000"
30,1,10,1000,1,500,"0,99","59,6985814000"
30,1,10,1000,1,1000,"0,30","92,2056560000"
30,1,10,1000,1,1000,"0,70","79,1582410000"
30,1,10,1000,1,1000,"0,90","69,5662884000"
30,1,10,1000,1,1000,"0,99","56,7780628000"
30,1,10,500,1,100,"0,30","106,6412440000"
30,1,10,500,1,100,"0,70","87,9041660000"
30,1,10,500,1,100,"0,90","79,2120730000"
30,1,10,500,1,100,"0,99","72,6646220000"
30,1,10,500,1,500,"0,30","89,3885650000"
30,1,10,500,1,500,"0,70","93,0842030000"
30,1,10,500,1,500,"0,90","61,9212680000"
30,1,10,500,1,500,"0,99","60,5947392000"
30,1,10,500,1,1000,"0,30","80,8297350000"
30,1,10,500,1,1000,"0,70","84,2956700000"
30,1,10,500,1,1000,"0,90","73,1114340000"
30,1,10,500,1,1000,"0,99","57,3975936000"
30,1,10,100,1,100,"0,30","116,8356600000"
30,1,10,100,1,100,"0,70","97,9251440000"
30,1,10,100,1,100,"0,90","71,8207350000"
30,1,10,100,1,100,"0,99","71,4326966000"
30,1,10,100,1,500,"0,30","94,3723380000"
30,1,10,100,1,500,"0,70","81,6923430000"
30,1,10,100,1,500,"0,90","73,6404840000"
30,1,10,100,1,500,"0,99","59,5492866000"
30,1,10,100,1,1000,"0,30","92,1221316000"
30,1,10,100,1,1000,"0,70","71,6370790000"
30,1,10,100,1,1000,"0,90","64,8368710000"
30,1,10,100,1,1000,"0,99","58,5184674000"
30,1,10,1000,501,100,"0,30","110,8077970000"
30,1,10,1000,501,100,"0,70","110,8077970000"
30,1,10,1000,501,100,"0,90","110,8077970000"
30,1,10,1000,501,100,"0,99","113,3235090000"
30,1,10,1000,501,500,"0,30","123,8581820000"
30,1,10,1000,501,500,"0,70","123,8581820000"
30,1,10,1000,501,500,"0,90","117,7293750000"
30,1,10,1000,501,500,"0,99","106,8191870000"
30,1,10,1000,501,1000,"0,30","114,6434730000"
30,1,10,1000,501,1000,"0,70","114,6434730000"
30,1,10,1000,501,1000,"0,90","114,6434730000"
30,1,10,1000,501,1000,"0,99","108,3682710000"
30,1,10,1000,901,100,"0,30","129,7406280000"
30,1,10,1000,901,100,"0,70","132,8602710000"
30,1,10,1000,901,100,"0,90","132,8602710000"
30,1,10,1000,901,100,"0,99","120,7203970000"
30,1,10,1000,901,500,"0,30","128,4919570000"
30,1,10,1000,901,500,"0,70","128,4919570000"
30,1,10,1000,901,500,"0,90","129,8626578000"
30,1,10,1000,901,500,"0,99","114,2700240000"
30,1,10,1000,901,1000,"0,30","122,0111790000"
30,1,10,1000,901,1000,"0,70","122,0111790000"
30,1,10,1000,901,1000,"0,90","122,0111790000"
30,1,10,1000,901,1000,"0,99","111,2018620000"
